id;name
1;ABARTH
2;ACURA
3;ALFA-ROMEO
4;ALPINA
5;ASTON MARTIN
6;AUDI
7;BARKAS
8;BMW
9;BUGATTI
10;BUICK
11;CADILLAC
12;CHEVROLET
13;CHRYSLER
14;CITROÓN
15;DATSUN
16;DODGE
17;DACIA
18;DAEWOO
19;DAIHATSU
20;DELOREAN
21;FERRARI
22;FIAT
23;FISKER
24;FORD
25;GENERALMOTORS
26;GMC
27;HUMMER
28;HOLDEN
29;HONDA
30;HSV
31;HUDSON
32;HYUNDAI
33;INFINITI
34;ISUZU
35;JAGUAR
36;JEEP
37;KIA
38;LADA
39;LAMBORGHINI
40;LANCIA
41;LEXUS,
42;LINCOLN
43;LISTER
44;LOTUS
45;LAND ROVER
46;MASERATI
47;MAZDA
48;MERCEDES
49;MERCEDES-AMG
50;MERCEDES-BENZ
51;MERCURY
52;MG
53;MINI
54;MITSUBISHI
55;NISSAN
56;OPEL
57;PEUGEOT
58;PONTIAC
59;PORSCHE
60;RENAULT
61;ROVER
62;RAM
63;SAAB
64;SEAT
65;SHELBY
66;SUBARU
67;SUZUKI
68;SMART
69;SKODA
70;TESLA
71;TOYOTA
72;TRIUMPH
73;TVR
74;TATRA
75;TRABANT
76;VAUXHALL
77;VOLKSWAGEN
78;VOLVO
